"householdID","visits","avgrides_perperson","avgmerch_perperson","avggoldzone_perperson","avgfood_perperson","goldzone_playersclub","own_car","homestate","FB_Like","renew"
"44",20,9.8,32.4,27.2,70.7,"0","1","CT","1",1
"57",20,11.7,71.8,40.8,1.6,"0","1","CT","1",1
"63",20,9.8,27.4,25.7,74.9,"0","1","CT","1",1
"159",17,2.2,1.5,91.1,28.9,"1","1","CT","0",1
"162",19,3.4,5,12,9.2,"0","1","CT","0",1
"165",19,2.2,37.5,18.4,76.3,"1","1","CT","1",1
"186",20,10.8,88,51.9,47.6,"0","1","CT","1",1
"199",20,8.3,23.8,90.1,50,"0","1","CT","0",1
"235",18,8.9,27.9,46.6,64,"0","1","CT","0",1
"249",18,11.9,8.8,170.2,11.6,"0","1","CT","0",1
"266",20,10.7,85.6,141.5,20,"0","1","CT","1",1
"277",19,12.1,12.7,134.2,24.5,"0","1","CT","0",1
"286",19,7.1,34,75,69.3,"0","1","CT","1",1
"301",18,10.5,42.5,118.4,28.5,"0","1","CT","0",1
"328",19,8.4,81.1,57.6,8.7,"0","1","CT","1",1
"340",18,9.3,52.1,126.9,6.9,"0","1","CT","0",1
"347",20,8.9,15.4,57.6,75.7,"0","1","CT","1",1
"410",19,10.3,9,131.3,29,"0","1","CT","1",1
"417",19,7.3,54.9,41.3,19.5,"0","1","CT","1",1
"418",17,12.4,35,38.9,20.2,"0","1","CT","0",1
"431",18,13.4,1.7,38.2,1.1,"0","1","CT","1",1
"457",17,9.4,40.9,30.2,33.7,"1","1","CT","1",0
"464",18,10.4,37.2,42.4,30.2,"0","1","CT","1",1
"501",19,7.4,68.8,125.9,9.4,"0","1","CT","0",1
"545",14,1.8,22,155.8,25.1,"0","1","CT","1",1
"566",19,11.8,28.1,111.5,48,"0","1","CT","1",1
"631",17,10.8,3.2,166.2,8,"1","1","CT","1",1
"638",18,8.1,20,54.4,21.1,"0","1","CT","1",1
"663",19,11.2,37.5,44.2,5.4,"0","1","CT","0",1
"699",19,7.6,62.1,93.7,72.7,"0","1","CT","0",1
"701",20,9.9,12.7,16.6,28.9,"0","1","CT","0",1
"771",20,0.6,16.8,43.9,8.1,"0","1","CT","1",1
"820",17,10.9,41.4,56.5,35.8,"0","1","CT","1",1
"825",20,12.6,6.4,17.7,74.5,"0","1","CT","0",1
"859",19,8.4,40.2,56.1,39.5,"1","1","CT","0",1
"870",18,7.9,23.5,164.3,36.7,"0","1","CT","1",1
"875",19,12.2,24.7,25.9,28.2,"0","1","CT","0",1
"884",20,10.3,77.6,95.6,50.1,"0","1","CT","1",1
"908",20,11.4,37.5,168.9,8.1,"0","1","CT","1",1
"914",20,2.7,30,92.6,14.1,"0","1","CT","0",1
"955",18,10.5,35.4,40.9,4.7,"0","1","CT","0",1
"965",20,8.1,29.9,48.8,30.1,"0","1","CT","0",0
"1024",18,12.7,13.9,68,42.4,"0","1","CT","0",1
"1106",20,10.4,66.1,111.6,10.3,"0","1","CT","1",1
"1131",20,8.6,23.7,153,69.7,"0","1","CT","0",1
"1135",19,10.9,3.7,81.8,9.2,"0","1","CT","1",1
"1161",19,10.3,2,51.9,42.5,"0","1","CT","0",1
"1164",20,7.9,20.3,128.1,11.7,"0","1","CT","1",1
"1195",20,3.9,69,140.4,46.2,"0","1","CT","0",1
"1234",20,6,16.2,45.7,15.8,"1","1","CT","0",1
"1244",18,3.1,39.7,11.7,17.3,"1","1","CT","0",1
"1267",20,9.6,17.7,131,61.9,"0","1","CT","1",1
"1270",19,8.4,85.2,38.3,67,"0","1","CT","1",1
"1277",17,9.7,24,95.3,66.3,"0","1","CT","1",1
"1296",19,12.9,32,170.5,25.3,"0","1","CT","0",1
"1302",19,8.4,15.2,38.3,21.4,"0","1","CT","0",1
"1358",19,11.1,41.3,104.9,29.2,"0","1","CT","1",1
"1360",20,7.5,6.8,70.4,27.8,"0","1","CT","1",1
"1408",18,2.7,74.7,44.3,15,"0","1","CT","1",0
"1409",19,12.5,34.8,158.4,11.3,"0","1","CT","0",1
"1417",20,8.1,21.5,48.7,14.4,"0","1","CT","0",1
"1445",19,7.6,41.8,53.7,20.8,"0","1","CT","0",1
"1448",19,9.4,16,11.7,5.8,"0","1","CT","1",1
"1464",20,12.6,11,129.3,27.8,"0","1","CT","0",1
"1504",20,10.1,28.1,88.7,26.4,"1","1","CT","0",1
"1521",17,4.9,67.2,106.9,52.4,"0","1","CT","0",1
"1553",19,6.4,28.4,82.7,15.2,"0","1","CT","1",1
"1554",20,11,7.6,116.9,75.4,"1","1","CT","1",1
"1575",16,11.9,48,29.6,29.4,"0","1","CT","1",1
"1580",19,9.1,35.2,80.7,43.2,"0","1","CT","0",1
"1622",18,12.8,45,91,6.2,"1","1","CT","0",1
"1630",20,7.9,35.4,68,10.4,"0","1","CT","0",1
"1699",20,8.6,47.1,69.1,61.9,"1","1","CT","0",1
"1707",18,9.4,12.9,93.9,2.4,"0","1","CT","0",1
"1731",20,12.4,46.3,118.2,11.4,"1","1","CT","1",1
"1732",20,12,14.6,163.7,42.9,"0","1","CT","1",1
"1762",20,10,14.9,121.4,9.2,"0","1","CT","0",1
"1769",18,11.2,33.9,39.5,34.4,"0","1","CT","0",1
"1789",18,8.1,15.6,51.7,14.8,"0","1","CT","1",1
"1808",20,7,42.2,127.7,39.8,"0","1","CT","0",1
"1810",20,10.7,9,137.9,32.4,"0","1","CT","1",1
"1841",20,2,41.2,141.9,1.7,"0","1","CT","1",1
"1870",20,11,1,98.4,67.1,"0","1","CT","0",1
"1874",20,10.6,37,3.4,27.9,"0","1","CT","0",1
"1882",18,12.5,39.4,81.9,19.9,"0","1","CT","1",1
"1891",18,7,56.5,160.5,17.8,"0","1","CT","0",1
"1908",20,10.7,33.5,53,71.9,"0","1","CT","1",1
"1913",19,10.1,28.5,146.9,32.6,"0","1","CT","0",1
"1957",19,11.9,11.7,125.3,10.6,"0","1","CT","0",1
"1969",19,2.1,37.8,17.5,11.6,"0","1","CT","1",1
"1984",20,10.5,31.1,86.7,51.6,"0","1","CT","1",1
"2019",17,8.4,35.4,75.5,17.7,"0","1","CT","0",0
"2029",20,11.6,36.7,161.4,6.4,"0","1","CT","1",1
"2033",20,12.5,73.2,42.2,8.8,"0","1","CT","0",1
"2049",20,12,29.9,158.8,11.5,"0","1","CT","0",1
"2051",17,10.7,26.8,49.2,11.9,"0","1","CT","0",1
"2072",18,10.1,11.8,34.3,6.4,"0","1","CT","1",1
"2127",20,0.9,8.2,62.1,74.6,"0","1","CT","1",1
"2128",20,8.9,35.5,160.6,20.8,"0","1","CT","1",1
"2178",18,10.9,10.3,95.2,10.8,"0","1","CT","0",1
"2190",19,9.3,56.4,63.1,71.6,"0","1","CT","1",1
"2225",19,9.3,2.6,83.7,17.7,"0","1","CT","1",1
"2234",19,8.1,86.6,16.7,44.6,"0","1","CT","0",1
"2244",17,1.9,26.5,15.2,67.3,"1","1","CT","1",0
"2273",16,11.6,11.7,42.2,43.1,"0","1","CT","1",1
"2285",20,9.5,69.2,37.7,20.5,"0","1","CT","1",1
"2292",20,7.5,75.3,124.2,41.3,"0","1","CT","0",1
"2313",20,10.2,35.3,77.1,53.6,"0","1","CT","0",1
"2317",17,1.9,62.2,116.3,16.3,"0","1","CT","1",1
"2389",18,3.7,13.9,158.1,19.6,"0","1","CT","0",1
"2447",20,1.9,24.9,84.9,18.8,"0","1","CT","0",1
"2460",17,10.5,3.4,171.6,23.7,"0","1","CT","1",1
"2465",17,9.9,45.5,43,22.6,"0","1","CT","0",1
"2468",20,8.6,59,98.2,22.6,"0","1","CT","0",1
