householdID,state,county,householdpax,AGI,conusleisure,children,leisureavg
1,New York,Nassau,4,179883.69,7115.75,1,9193.4
2,New York,Nassau,2,169985.69,4967.27,1,7914.61
3,New York,Nassau,3,174330.05,3088.74,2,7885.29
4,New York,Nassau,5,192924.29,4841.22,2,5472.83
5,New York,Nassau,2,153443.55,5745.79,1,7859.36
6,New York,Nassau,3,206656.43,3377.03,2,9381.44
7,New York,Nassau,1,186177.43,4729.6,0,6627.52
8,New York,Nassau,4,229633.38,4174.31,1,7995.19
9,New York,Nassau,5,176168.64,3752.55,2,7041.56
10,New York,Nassau,5,195050.59,4551.26,2,5411.14
11,New York,Nassau,4,189670.51,4258.04,1,6697.63
12,New York,Nassau,4,128958.67,4311.93,1,7872.46
13,New York,Nassau,4,156596.19,5785.95,2,6626.15
14,New York,Nassau,3,239458.59,3866.95,1,6936.82
15,New York,Nassau,4,203859.49,6167.64,1,8001.11
16,New York,Nassau,2,203305.66,3381.47,1,6594.85
17,New York,Nassau,2,171544.8,5108.66,1,7208.96
18,New York,Nassau,4,188134.39,3743.76,2,9083.92
19,New York,Nassau,3,245196.28,810.3,1,7217.69
20,New York,Nassau,4,193891.1,3497.08,1,8551.24
21,New York,Nassau,3,182419.47,7429.01,2,7742.36
22,New York,Nassau,2,233772.08,4946.26,1,6000.1
23,New York,Nassau,4,226647.22,6857.4,1,8428.74
24,New York,Nassau,5,170724.97,2194.69,2,7272.95
25,New York,Nassau,2,181507.2,7385.48,1,7385.48
26,New York,Nassau,1,179304.03,5089.52,0,7114.56
27,New York,Nassau,5,210441.71,7613.84,1,8883.92
28,New York,Nassau,3,237725.95,5317.34,2,8260.37
29,New York,Nassau,1,217592.23,3676.96,0,5936.46
30,New York,Nassau,4,201933.29,6506.79,2,6506.79
31,New York,Nassau,1,172137.54,4894.05,0,7890.24
32,New York,Nassau,5,148520.15,5849.73,1,6124.34
33,New York,Nassau,1,188961.57,6101.25,0,6326.06
34,New York,Nassau,3,150415.73,3928.95,1,8110.67
35,New York,Nassau,1,188765.23,6192.83,0,8251.14
36,New York,Nassau,2,169680.94,2537.11,1,6038.6
37,New York,Nassau,2,143867.09,1423.69,0,6759.64
38,New York,Nassau,4,186174.06,5242.46,2,7826.6
39,New York,Nassau,3,182967.31,6297.03,2,8239.48
40,New York,Nassau,4,140243.91,219.63,1,9602.26
41,New York,Nassau,2,158884.53,3597.75,1,7508.72
42,New York,Nassau,2,200132.62,5573.2,1,5573.2
43,New York,Nassau,3,123978.42,4626.02,2,10433.16
44,New York,Nassau,4,169821.84,5793.55,1,6806.72
45,New York,Nassau,4,218260.28,3758.96,2,8022.13
46,New York,Nassau,1,186247.89,4020.68,0,8228.17
47,New York,Nassau,1,142976.26,5454.84,0,7257.93
48,New York,Nassau,4,192717.76,5370.28,3,6808.77
49,New York,Nassau,3,211309.69,4678.22,1,4678.22
50,New York,Nassau,3,164717.72,6649.12,2,9080.3
51,New York,Nassau,4,191357.36,5821.35,1,6296.39
52,New York,Nassau,3,190317.69,3224.07,2,7512.36
53,New York,Nassau,3,162244.46,6171.79,2,8507.17
54,New York,Nassau,4,191136.6,5620.3,2,8715.47
55,New York,Nassau,1,189484.47,4641.11,0,6857.9
56,New York,Nassau,6,178039.61,4086.57,0,8488.24
57,New York,Nassau,2,168715.87,5220.77,1,6415.46
58,New York,Nassau,3,187803.29,3419.13,0,7576.92
59,New York,Nassau,3,170968.81,5400.94,1,5400.94
60,New York,Nassau,1,192300.1,4272.5,0,5478.48
61,New York,Nassau,3,194686.73,4316.97,1,8017.06
62,New York,Nassau,2,160958.65,4443.65,1,9353.59
63,New York,Nassau,1,188908.76,6497.15,0,9007.69
64,New York,Nassau,5,176285.68,4128.45,1,8226.32
65,New York,Nassau,2,181730.59,5905.07,1,5905.07
66,New York,Nassau,4,116195.97,5192.39,0,7839.73
67,New York,Nassau,5,194817.02,2726.78,2,5475.69
68,New York,Nassau,4,200882.63,4622.06,2,7621.57
69,New York,Nassau,3,169516.58,3603.6,2,5720.6
70,New York,Nassau,2,179233.61,3338.69,1,9769.56
71,New York,Nassau,3,197119.1,4780.96,2,6337.52
72,New York,Nassau,2,110704.69,3826.52,1,6356.84
73,New York,Nassau,2,161742.61,4634.39,1,5832.59
74,New York,Nassau,3,158732.98,5608.08,0,7478.76
75,New York,Nassau,1,222366.3,4347.57,0,7974.64
76,New York,Nassau,2,178913.51,4054.88,1,9352.38
77,New York,Nassau,4,178669.88,6719.15,0,6719.15
78,New York,Nassau,5,153985.59,6199.15,2,8590.9
79,New York,Nassau,2,145879.21,2732.03,1,8085.02
80,New York,Nassau,1,171722.1,3722.64,0,6143.56
81,New York,Nassau,3,200752.0,4803.09,2,6213.37
82,New York,Nassau,4,171595.65,5139.06,2,9179.38
83,New York,Nassau,3,165323.16,5408.43,0,7333.94
84,New York,Nassau,6,181751.79,3807.93,1,7573.31
85,New York,Nassau,4,166885.83,4627.65,1,7502.01
86,New York,Nassau,1,207989.39,6924.21,0,10098.7
87,New York,Nassau,1,196208.53,5906.13,0,6372.3
88,New York,Nassau,2,174630.58,3801.19,0,6646.43
89,New York,Nassau,2,170752.15,6608.29,1,7041.13
90,New York,Nassau,3,176879.12,6266.16,1,8000.21
91,New York,Nassau,4,117839.1,6068.33,1,8384.21
92,New York,Nassau,2,206834.02,6273.8,1,6896.63
93,New York,Nassau,1,173223.94,4061.47,0,6739.89
94,New York,Nassau,4,185354.53,3680.05,2,5143.2
95,New York,Nassau,1,146992.97,3899.86,0,5875.24
96,New York,Nassau,2,174052.61,3437.18,0,6628.38
97,New York,Nassau,4,189166.37,6118.58,1,8303.55
98,New York,Nassau,2,165859.34,434.24,1,6949.29
99,New York,Nassau,3,163728.58,5068.01,2,5068.01
100,New York,Nassau,2,226181.73,2163.49,1,7658.81
101,New York,Nassau,3,91708.2,4634.17,2,7058.28
102,New York,Nassau,5,144531.55,6299.5,3,6299.5
103,New York,Nassau,6,160429.5,3878.08,2,8170.56
104,New York,Nassau,5,196259.31,6443.58,3,6443.58
105,New York,Nassau,1,192211.13,5102.12,0,9886.25
106,New York,Nassau,2,211017.52,3283.42,1,9966.27
107,New York,Nassau,1,169908.74,4576.89,0,6643.02
108,New York,Nassau,2,130087.58,5250.95,1,7415.82
109,New York,Nassau,3,174345.55,7116.8,1,8470.32
110,New York,Nassau,3,159853.72,3970.18,1,8883.5
111,New York,Nassau,4,187853.96,2472.45,2,7593.76
112,New York,Nassau,1,163951.04,4578.3,0,8562.24
113,New York,Nassau,1,197009.98,7882.69,0,8268.23
114,New York,Nassau,5,171474.52,5374.61,2,7374.17
115,New York,Nassau,4,224239.25,6271.18,1,8525.16
116,New York,Nassau,2,204142.33,5066.85,1,7264.51
117,New York,Nassau,1,155905.36,4143.74,0,5531.37
118,New York,Nassau,2,179535.27,7563.76,1,7563.76
